流水號,編號,區域,里,路街,位置,類型,方向,燈別,瓦數,isOldId,X,Y,燈桿形式,高度
99722246,850152-1,四,過嶺里,福嶺路,過嶺里福嶺路三鄰95巷30號對面,水泥桿,,鈉光燈,250,FALSE,267496,2762065.75,自備桿,6
909745,850153,四,過嶺里,福嶺路,過嶺里福嶺路三鄰95巷38弄第一桿,水泥桿,,鈉光燈,250,FALSE,267534.0938,2762082.75,自備桿,6
99722247,850153-1,四,過嶺里,福嶺路,過嶺里福嶺路三鄰95巷38弄第一桿,水泥桿,,鈉光燈,250,FALSE,267534.0938,2762082.75,自備桿,6
909746,850154,四,過嶺里,福嶺路,過嶺里福嶺路三鄰95巷38弄第二桿,水泥桿,,鈉光燈,250,FALSE,267562.25,2762101.5,自備桿,6
909747,850155,四,過嶺里,福嶺路,過嶺里福嶺路三鄰95巷38弄第三桿,水泥桿,,鈉光燈,250,FALSE,267585.1563,2762118.75,自備桿,6
909748,850156,四,過嶺里,福嶺路,過嶺里福嶺路三鄰95巷,水泥桿,,鈉光燈,250,FALSE,267477.9688,2762075.5,自備桿,6
40514,850157,四,過嶺里,福嶺路,過嶺里福嶺路三鄰95巷,水泥桿,,鈉光燈,250,FALSE,267458.625,2762069.75,自備桿,6
909750,850158,四,過嶺里,福嶺路,過嶺里福嶺路三鄰95巷86號右邊對面,水泥桿,,鈉光燈,250,FALSE,267473.8438,2762120.75,自備桿,6
909751,850159,四,過嶺里,福嶺路,過嶺里福嶺路三鄰95巷86號後面右邊對面,水泥桿,,鈉光燈,250,FALSE,267479.0938,2762156.75,自備桿,6
909752,850160,四,過嶺里,福嶺路,過嶺里福嶺路三鄰95巷120號右邊,水泥桿,,鈉光燈,250,FALSE,267501.0625,2762217.5,自備桿,6
909753,850161,四,過嶺里,福嶺路,過嶺里福嶺路三鄰95巷120號對面,水泥桿,,鈉光燈,250,FALSE,267492.7813,2762206.75,自備桿,6
909754,850162,四,過嶺里,福嶺路,過嶺里福嶺路三鄰95巷120號對面左邊,水泥桿,,鈉光燈,250,FALSE,267486.4063,2762197.75,自備桿,6
909755,850163,四,過嶺里,福嶺路,過嶺里福嶺路95巷128號,水泥桿,,鈉光燈,250,FALSE,267432.5938,2762237,自備桿,6
909756,850164,四,過嶺里,福嶺路,過嶺里福嶺路95巷120號左邊對面,水泥桿,,鈉光燈,250,FALSE,267487.9063,2762178.25,台電桿,10
909757,850165,四,過嶺里,過嶺路一段,過嶺里過嶺路一段4鄰土地公廟前小路第二桿,水泥桿,,鈉光燈,250,FALSE,267325.9375,2762114.25,電信桿,8
909758,850166,四,過嶺里,過嶺路一段,過嶺里過嶺路一段4鄰土地公廟前小路第一桿,水泥桿,,鈉光燈,250,FALSE,267341.8438,2762173.25,自備桿,6
909759,850167,四,過嶺里,過嶺路一段,過嶺里過嶺路一段4鄰土地公廟旁,水泥桿,,鈉光燈,250,FALSE,267363.7188,2762174.5,自備桿,6
909760,850168,四,過嶺里,福田路,過嶺里福田路1-1號右後,水泥桿,,鈉光燈,250,FALSE,267580.6875,2762741.75,自備桿,6
909761,850169,四,過嶺里,福達路一段,過嶺里福達路一段346號左邊第四桿,水泥桿,,鈉光燈,250,FALSE,267549.4375,2762773.5,自備桿,6
909762,850170,四,過嶺里,福達路一段,過嶺里福達路一段346號左邊第三桿,水泥桿,,鈉光燈,250,FALSE,267531.8125,2762796.75,自備桿,6
909763,850171,四,過嶺里,福達路一段,過嶺里福達路一段346號左邊第二桿,水泥桿,,鈉光燈,250,FALSE,267512.375,2762834.25,自備桿,6
